Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
36.295,2963,241,2,68,14,Yes,Yes,No,East,375
83.851,8494,607,5,47,18,No,No,No,South,1311
21.153,3736,256,1,41,11,No,No,No,South,298
17.976,2433,190,3,70,16,Yes,Yes,No,South,431
68.713,7582,531,2,56,16,No,Yes,No,South,1587
146.183,9540,682,6,66,15,No,No,No,South,1050
15.846,4768,365,4,53,12,Yes,No,No,South,745
12.031,3182,259,2,58,18,Yes,No,Yes,South,210
16.819,1337,115,2,74,15,No,No,Yes,West,0
39.11,3189,263,3,72,12,No,No,No,West,0
107.986,6033,449,4,64,14,No,No,Yes,South,227
13.561,3261,279,5,37,19,No,No,Yes,West,297
34.537,3271,250,3,57,17,Yes,No,Yes,West,47
28.575,2959,231,2,60,11,Yes,No,No,East,0
46.007,6637,491,4,42,14,No,No,Yes,South,1046
69.251,6386,474,4,30,12,Yes,No,Yes,West,768
16.482,3326,268,4,41,15,No,No,No,South,271
40.442,4828,369,5,81,8,Yes,No,No,East,510
35.177,2117,186,3,62,16,Yes,No,No,South,0
91.362,9113,626,1,47,17,No,No,Yes,West,1341
27.039,2161,173,3,40,17,Yes,No,No,South,0
23.012,1410,137,3,81,16,No,No,No,South,0
27.241,1402,128,2,67,15,Yes,No,Yes,West,0
148.08,8157,599,2,83,13,No,No,Yes,South,454
62.602,7056,481,1,84,11,Yes,No,No,South,904
11.808,1300,117,3,77,14,Yes,No,No,East,0
29.564,2529,192,1,30,12,Yes,No,Yes,South,0
27.578,2531,195,1,34,15,Yes,No,Yes,South,0
26.427,5533,433,5,50,15,Yes,Yes,Yes,West,1404
57.202,3411,259,3,72,11,Yes,No,No,South,0
123.299,8376,610,2,89,17,No,Yes,No,East,1259
18.145,3461,279,3,56,15,No,No,Yes,East,255
23.793,3821,281,4,56,12,Yes,Yes,Yes,East,868
10.726,1568,162,5,46,19,No,No,Yes,West,0
23.283,5443,407,4,49,13,No,No,Yes,East,912
21.455,5829,427,4,80,12,Yes,No,Yes,East,1018
34.664,5835,452,3,77,15,Yes,No,Yes,East,835
44.473,3500,257,3,81,16,Yes,No,No,East,8
54.663,4116,314,2,70,8,Yes,No,No,East,75
36.355,3613,278,4,35,9,No,No,Yes,West,187
21.374,2073,175,2,74,11,Yes,No,Yes,South,0
107.841,10384,728,3,87,7,No,No,No,East,1597
39.831,6045,459,3,32,12,Yes,Yes,Yes,East,1425
91.876,6754,483,2,33,10,No,No,Yes,South,605
103.893,7416,549,3,84,17,No,No,No,West,669
19.636,4896,387,3,64,10,Yes,No,No,East,710
17.392,2748,228,3,32,14,No,No,Yes,South,68
19.529,4673,341,2,51,14,No,No,No,West,642
17.055,5110,371,3,55,15,Yes,No,Yes,South,805
23.857,1501,150,3,56,16,No,No,Yes,South,0
15.184,2420,192,2,69,11,Yes,No,Yes,South,0
13.444,886,121,5,44,10,No,No,Yes,West,0
