Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
69.943,7555,547,3,76,9,No,No,Yes,West,1058
33.214,5137,387,3,59,9,No,No,No,East,661
25.124,4776,378,4,29,12,No,No,Yes,South,657
15.741,4788,360,1,39,14,No,No,Yes,West,689
11.603,2278,187,3,71,11,No,No,Yes,South,0
69.656,8244,579,3,41,14,No,No,Yes,East,1329
10.503,2923,232,3,25,18,Yes,No,Yes,East,191
42.529,4986,369,2,37,11,No,No,Yes,West,489
60.579,5149,388,5,38,15,No,No,Yes,West,443
26.532,2910,236,6,58,19,Yes,No,Yes,South,52
27.952,3557,263,1,35,13,Yes,No,Yes,West,163
29.705,3351,262,5,71,14,Yes,No,Yes,West,148
15.602,906,103,2,36,11,No,No,Yes,East,0
20.918,1233,128,3,47,18,Yes,Yes,Yes,West,16
58.165,6617,460,1,56,12,Yes,No,Yes,South,856
22.561,1787,147,4,66,15,Yes,No,No,South,0
34.509,2001,189,5,80,18,Yes,No,Yes,East,0
19.588,3211,265,4,59,14,Yes,No,No,West,199
36.364,2220,188,3,50,19,No,No,No,South,0
15.717,905,93,1,38,16,No,Yes,Yes,South,0
22.574,1551,134,3,43,13,Yes,Yes,Yes,South,98
10.363,2430,191,2,47,18,Yes,No,Yes,West,0
28.474,3202,267,5,66,12,No,No,Yes,South,132
72.945,8603,621,3,64,8,Yes,No,No,South,1355
85.425,5182,402,6,60,12,No,No,Yes,East,218
36.508,6386,469,4,79,6,Yes,No,Yes,South,1048
58.063,4221,304,3,50,8,No,No,No,East,118
25.936,1774,135,2,71,14,Yes,No,No,West,0
15.629,2493,186,1,60,14,No,No,Yes,West,0
41.4,2561,215,2,36,14,No,No,Yes,South,0
33.657,6196,450,6,55,9,Yes,No,No,South,1092
67.937,5184,383,4,63,12,No,No,Yes,West,345
180.379,9310,665,3,67,8,Yes,Yes,Yes,West,1050
10.588,4049,296,1,66,13,Yes,No,Yes,South,465
29.725,3536,270,2,52,15,Yes,No,No,East,133
27.999,5107,380,1,55,10,No,No,Yes,South,651
40.885,5013,379,3,46,13,Yes,No,Yes,East,549
88.83,4952,360,4,86,16,Yes,No,Yes,South,15
29.638,5833,433,3,29,15,Yes,No,Yes,West,942
25.988,1349,142,4,82,12,No,No,No,South,0
39.055,5565,410,4,48,18,Yes,No,Yes,South,772
15.866,3085,217,1,39,13,No,No,No,South,136
44.978,4866,347,1,30,10,Yes,No,No,South,436
30.413,3690,299,2,25,15,Yes,Yes,No,West,728
16.751,4706,353,6,48,14,No,Yes,No,West,1255
30.55,5869,439,5,81,9,Yes,No,No,East,967
163.329,8732,636,3,50,14,No,No,Yes,South,529
23.106,3476,257,2,50,15,Yes,No,No,South,209
41.532,5000,353,2,50,12,No,No,Yes,South,531
128.04,6982,518,2,78,11,Yes,No,Yes,South,250
54.319,3063,248,3,59,8,Yes,Yes,No,South,269
53.401,5319,377,3,35,12,Yes,No,No,East,541
36.142,1852,183,3,33,13,Yes,No,No,East,0
63.534,8100,581,2,50,17,Yes,No,Yes,South,1298
49.927,6396,485,3,75,17,Yes,No,Yes,South,890
14.711,2047,167,2,67,6,No,No,Yes,South,0
18.967,1626,156,2,41,11,Yes,No,Yes,West,0
18.036,1552,142,2,48,15,Yes,No,No,South,0
60.449,3098,272,4,69,8,No,No,Yes,South,0
16.711,5274,387,3,42,16,Yes,No,Yes,West,863
10.852,3907,296,2,30,9,No,No,No,South,485
26.37,3235,268,5,78,11,No,No,Yes,West,159
24.088,3665,287,4,56,13,Yes,No,Yes,South,309
51.532,5096,380,2,31,15,No,No,Yes,South,481
140.672,11200,817,7,46,9,No,No,Yes,East,1677
42.915,2532,205,4,42,13,No,No,Yes,West,0
27.272,1389,149,5,67,10,Yes,No,Yes,South,0
65.896,5140,370,1,49,17,Yes,No,Yes,South,293
55.054,4381,321,3,74,17,No,No,Yes,West,188
20.791,2672,204,1,70,18,Yes,No,No,East,0
24.919,5051,372,3,76,11,Yes,No,Yes,East,711
21.786,4632,355,1,50,17,No,No,Yes,South,580
31.335,3526,289,3,38,7,Yes,No,No,South,172
59.855,4964,365,1,46,13,Yes,No,Yes,South,295
44.061,4970,352,1,79,11,No,No,Yes,East,414
82.706,7506,536,2,64,13,Yes,No,Yes,West,905
24.46,1924,165,2,50,14,Yes,No,Yes,West,0
45.12,3762,287,3,80,8,No,No,Yes,South,70
75.406,3874,298,3,41,14,Yes,No,Yes,West,0
14.956,4640,332,2,33,6,No,No,No,West,681
75.257,7010,494,3,34,18,Yes,No,Yes,South,885
33.694,4891,369,1,52,16,No,Yes,No,East,1036
23.375,5429,396,3,57,15,Yes,No,Yes,South,844
27.825,5227,386,6,63,11,No,No,Yes,South,823
92.386,7685,534,2,75,18,Yes,No,Yes,West,843
115.52,9272,656,2,69,14,No,No,No,East,1140
14.479,3907,296,3,43,16,No,No,Yes,South,463
52.179,7306,522,2,57,14,No,No,No,West,1142
68.462,4712,340,2,71,16,No,No,Yes,South,136
18.951,1485,129,3,82,13,Yes,No,No,South,0
27.59,2586,229,5,54,16,No,No,Yes,East,0
16.279,1160,126,3,78,13,No,Yes,Yes,East,5
25.078,3096,236,2,27,15,Yes,No,Yes,South,81
27.229,3484,282,6,51,11,No,No,No,South,265
182.728,13913,982,4,98,17,No,No,Yes,South,1999
31.029,2863,223,2,66,17,No,Yes,Yes,West,415
17.765,5072,364,1,66,12,Yes,No,Yes,South,732
125.48,10230,721,3,82,16,No,No,Yes,South,1361
49.166,6662,508,3,68,14,Yes,No,No,West,984
41.192,3673,297,3,54,16,Yes,No,Yes,South,121
94.193,7576,527,2,44,16,Yes,No,Yes,South,846
20.405,4543,329,2,72,17,No,Yes,No,West,1054
12.581,3976,291,2,48,16,No,No,Yes,South,474
62.328,5228,377,3,83,15,No,No,No,South,380
21.011,3402,261,2,68,17,No,No,Yes,East,182
24.23,4756,351,2,64,15,Yes,No,Yes,South,594
24.314,3409,270,2,23,7,Yes,No,Yes,South,194
32.856,5884,438,4,68,13,No,No,No,South,926
12.414,855,119,3,32,12,No,No,Yes,East,0
41.365,5303,377,1,45,14,No,No,No,South,606
149.316,10278,707,1,80,16,No,No,No,East,1107
27.794,3807,301,4,35,8,Yes,No,Yes,East,320
13.234,3922,299,2,77,17,Yes,No,Yes,South,426
14.595,2955,260,5,37,9,No,No,Yes,East,204
10.735,3746,280,2,44,17,Yes,No,Yes,South,410
48.218,5199,401,7,39,10,No,No,Yes,West,633
30.012,1511,137,2,33,17,No,No,Yes,South,0
21.551,5380,420,5,51,18,No,No,Yes,West,907
160.231,10748,754,2,69,17,No,No,No,South,1192
13.433,1134,112,3,70,14,No,No,Yes,South,0
48.577,5145,389,3,71,13,Yes,No,Yes,West,503
30.002,1561,155,4,70,13,Yes,No,Yes,South,0
61.62,5140,374,1,71,9,No,No,Yes,South,302
104.483,7140,507,2,41,14,No,No,Yes,East,583
41.868,4716,342,2,47,18,No,No,No,South,425
12.068,3873,292,1,44,18,Yes,No,Yes,West,413
180.682,11966,832,2,58,8,Yes,No,Yes,East,1405
34.48,6090,442,3,36,14,No,No,No,South,962
39.609,2539,188,1,40,14,No,No,Yes,West,0
30.111,4336,339,1,81,18,No,No,Yes,South,347
12.335,4471,344,3,79,12,No,No,Yes,East,611
53.566,5891,434,4,82,10,Yes,No,No,South,712
53.217,4943,362,2,46,16,Yes,No,Yes,West,382
26.162,5101,382,3,62,19,Yes,No,No,East,710
64.173,6127,433,1,80,10,No,No,Yes,South,578
128.669,9824,685,3,67,16,No,No,Yes,West,1243
113.772,6442,489,4,69,15,No,Yes,Yes,South,790
61.069,7871,564,3,56,14,No,No,Yes,South,1264
23.793,3615,263,2,70,14,No,No,No,East,216
89,5759,440,3,37,6,Yes,No,No,South,345
71.682,8028,599,3,57,16,No,No,Yes,South,1208
35.61,6135,466,4,40,12,No,No,No,South,992
39.116,2150,173,4,75,15,No,No,No,South,0
19.782,3782,293,2,46,16,Yes,Yes,No,South,840
55.412,5354,383,2,37,16,Yes,Yes,Yes,South,1003
29.4,4840,368,3,76,18,Yes,No,Yes,South,588
20.974,5673,413,5,44,16,Yes,No,Yes,South,1000
87.625,7167,515,2,46,10,Yes,No,No,East,767
28.144,1567,142,3,51,10,No,No,Yes,South,0
19.349,4941,366,1,33,19,No,No,Yes,South,717
53.308,2860,214,1,84,10,No,No,Yes,South,0
115.123,7760,538,3,83,14,Yes,No,No,East,661
101.788,8029,574,2,84,11,No,No,Yes,South,849
24.824,5495,409,1,33,9,No,Yes,No,South,1352
14.292,3274,282,9,64,9,No,No,Yes,South,382
20.088,1870,180,3,76,16,No,No,No,East,0
26.4,5640,398,3,58,15,Yes,No,No,West,905
19.253,3683,287,4,57,10,No,No,No,East,371
16.529,1357,126,3,62,9,No,No,No,West,0
37.878,6827,482,2,80,13,Yes,No,No,South,1129
83.948,7100,503,2,44,18,No,No,No,South,806
135.118,10578,747,3,81,15,Yes,No,Yes,West,1393
73.327,6555,472,2,43,15,Yes,No,No,South,721
25.974,2308,196,2,24,10,No,No,No,West,0
17.316,1335,138,2,65,13,No,No,No,East,0
49.794,5758,410,4,40,8,No,No,No,South,734
12.096,4100,307,3,32,13,No,No,Yes,South,560
13.364,3838,296,5,65,17,No,No,No,East,480
57.872,4171,321,5,67,12,Yes,No,Yes,South,138
37.728,2525,192,1,44,13,No,No,Yes,South,0
18.701,5524,415,5,64,7,Yes,No,No,West,966
